FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
904400|Canada de Carrizal|Stream|NM|35|Rio Arriba|039|360113N|1054805W|36.0203033|-105.8014069|360146N|1054705W|36.0294444|-105.7847222|2331|7648|Truchas|11/13/1980|
904401|Canada de Cerro Colorado|Stream|NM|35|San Miguel|047|353912N|1051634W|35.6533759|-105.2761211|354138N|1051706W|35.6938889|-105.285|2037|6683|Montezuma|11/13/1980|
904402|Canada de Chinchonte|Arroyo|NM|35|Torrance|057|345010N|1061311W|34.8361658|-106.2197445|345044N|1061623W|34.8456095|-106.2730784|2012|6601|Milbourn Ranch|11/13/1980|
904403|Canada del Gato|Stream|NM|35|Rio Arriba|039|360112N|1055243W|36.0200247|-105.8786308|360214N|1055031W|36.0372472|-105.8419633|2054|6739|Chimayo|11/13/1980|07/14/2011
904404|Canada de Humo|Stream|NM|35|Rio Arriba|039|362906N|1063443W|36.4850163|-106.5786457|363200N|1063257W|36.5333494|-106.5492007|2179|7149|Alire|11/13/1980|
904405|Canada de Indio|Stream|NM|35|Rio Arriba|039|360255N|1061929W|36.0486321|-106.3247508|360152N|1062008W|36.0311111|-106.3355556|2372|7782|Vallecitos|11/13/1980|
904406|Canada de Mogote|Stream|NM|35|Rio Arriba|039|360102N|1055627W|36.0172463|-105.9408543|360221N|1055546W|36.0391667|-105.9294444|1902|6240|Chimayo|11/13/1980|
904407|Canada de Montecito|Stream|NM|35|Rio Arriba|039|361140N|1055125W|36.1944679|-105.8569627|360829N|1055048W|36.1413889|-105.8466667|1857|6092|Trampas|11/13/1980|
904408|Canada de Ojito|Stream|NM|35|Rio Arriba|039|360023N|1055530W|36.0064133|-105.9250206|360203N|1055444W|36.0341667|-105.9122222|1901|6237|Chimayo|11/13/1980|
904409|Canada de Ojito|Stream|NM|35|Rio Arriba|039|360749N|1055627W|36.1303012|-105.9408539|360514N|1055436W|36.0872461|-105.91002|1896|6220|Velarde|11/13/1980|
904410|Canada de Ojitos|Stream|NM|35|Rio Arriba|039|360743N|1062551W|36.1286304|-106.4308656|360403N|1062511W|36.06752|-106.419754|2388|7835|Canones|11/13/1980|
